"","Median","Std.Dev","Cr.025","Cr.975","Gelman.conv"
"inter[1]",-0.0568716042263615,0.0430676444497869,-0.141690471555477,0.0291516124101079,1.00327429028337
"inter[2]",-0.333045515333666,0.0317758555587534,-0.393970452839728,-0.268877317216924,1.00172628710869
"inter[3]",-0.237586689398379,0.0468416186895469,-0.331110817409678,-0.14869921465585,1.01415260708136
"inter[4]",-0.486994071617661,0.0302640786972986,-0.553107695655528,-0.432549261106334,0.999798698841298
"inter[5]",0.528328437502765,0.112612338357828,0.32933018224173,0.756507549445295,1.01375415077099
"s.effects[1]",197.882745788316,13.411313907451,171.496497979485,225.270006064231,1.00440305620454
"s.effects[2]",-3.868870568477,31.6877300326621,-63.1016444724098,60.5733289022579,1.00640005119578
"s.effects[3]",-165.129755870535,25.614492888227,-214.062884607122,-113.786406773019,1.00908751176691
"s.effects[4]",5.22098802171985,31.9818925969667,-50.8584789768841,71.1829622081871,1.00257583142057
"s.effects[5]",-34.248837788085,19.7749854613266,-70.3180728504602,4.45647753887059,1.02314497039348
"s.effects[6]",-373.974221851514,27.6675626763216,-422.930232604165,-314.664320522205,1.00909219263454
"s.effects[7]",-1.64053723105212,31.5927137845085,-64.2461046505696,56.7570370193129,1.00096467713357
"r",49.6930834630997,0.417470598868708,48.7177016734001,49.9998851760808,1.00082726978445
